ngay,nhom,so_lo,gia_thap_trieu_m2,gia_trung_binh_trieu_m2,gia_cao_trieu_m2
2026-08-31,Đất nền có thổ cư (dưới 3.000m²),65,1.67,2.96,4.64
2026-08-31,Đất vườn / lô lớn từ 3.000m²,6,1.25,1.58,1.9
2026-08-31,Trung tâm Nam Ban (thị trấn cũ),45,1.51,2.89,4.37
2026-08-31,Đông Thanh,13,1.66,2.43,4.62
2026-08-31,Mê Linh,9,1.34,2.7,4.57
2026-09-06,Đất nền có thổ cư (dưới 3.000m²),87,1.63,2.94,4.56
2026-09-06,Đất vườn / lô lớn từ 3.000m²,6,1.25,1.58,1.9
2026-09-06,Đất view hồ / view đẹp,9,2.12,3.15,4.18
2026-09-06,Trung tâm Nam Ban (thị trấn cũ),55,1.51,2.92,4.52
2026-09-06,Đông Thanh,21,1.54,2.49,4.75
2026-09-06,Mê Linh,11,1.58,2.86,4.23
2026-09-06,Gia Lâm,6,2.12,3.35,3.98
2026-09-06,Hồ Bãi Công,9,2.12,3.15,4.18
2026-09-06,Từ Liêm,4,2.17,3.24,3.58
2026-09-07,Đất nền có thổ cư (dưới 3.000m²),90,1.65,2.91,4.55
2026-09-07,Đất vườn / lô lớn từ 3.000m²,6,1.25,1.58,1.9
2026-09-07,Đất view hồ / view đẹp,9,2.12,3.15,4.18
2026-09-07,Trung tâm Nam Ban (thị trấn cũ),57,1.52,2.89,4.51
2026-09-07,Đông Thanh,22,1.54,2.39,4.68
2026-09-07,Mê Linh,11,1.58,2.86,4.23
2026-09-07,Gia Lâm,6,2.12,3.35,3.98
2026-09-07,Hồ Bãi Công,9,2.12,3.15,4.18
2026-09-07,Từ Liêm,4,2.17,3.24,3.58
2026-09-13,Đất nền có thổ cư (dưới 3.000m²),97,1.52,2.86,4.51
2026-09-13,Đất vườn / lô lớn từ 3.000m²,14,0.58,1.35,1.97
2026-09-13,Đất view hồ / view đẹp,36,1.52,2.85,4.61
2026-09-13,Trung tâm Nam Ban (thị trấn cũ),69,1.07,2.68,4.4
2026-09-13,Đông Thanh,27,1.42,2.26,4.35
2026-09-13,Mê Linh,13,0.86,2.59,4.18
2026-09-13,Gia Lâm,8,0.69,2.63,3.95
2026-09-13,Hồ Bãi Công,10,2.22,3.23,4.14
2026-09-13,Từ Liêm,5,2.32,3.32,3.62
2026-09-14,Đất nền có thổ cư (dưới 3.000m²),97,1.52,2.86,4.51
2026-09-14,Đất vườn / lô lớn từ 3.000m²,15,0.59,1.33,1.96
2026-09-14,Đất view hồ / view đẹp,36,1.52,2.85,4.61
